tanque,pieza,categoria,resolver_esperado,riesgo
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P01,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P02,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P03,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P04,tubo_ring,circular_hollow,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P05,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P06,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P07,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P08,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P09,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P10_Default_As Machined_,canal_U_C,prismatic_U,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P11,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P12,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P13,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1247-P15,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P01,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P06_1,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P06_2,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P07,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P08_1,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P08_2,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P09,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P10,canal_U_C,prismatic_U,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P11,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P12,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P13,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P14,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P15,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P16,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P17,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P19,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P25,placa,prismatic_plate,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P26,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P27_Default_As Machined_,angulo_L,prismatic_L,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P28_Predeterminado,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P29_Predeterminado,chapa_semicirc,prismatic_semi,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P30,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P31_Default_As Machined_,tubo_HSS,rect_hollow,conocida_OTC
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P32,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P33_Default_As Machined_,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P34_Default_As Machined_,OTC_codigo_generico,prismatic_plate,medio
62176-1246-A01 LIMPIO Y MARCADO,62176-1248-P35,OTC_codigo_generico,prismatic_plate,medio
