"Tanque","Tipo","Nombre","TamKB","Ruta"
"62176-1246-A01 LIMPIO Y MARCADO",".iam","62176-1246-A01 LIMPIO Y MARCADO","1851","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO.iam"
"62176-1246-A01 LIMPIO Y MARCADO",".iam","62176-1247-A01","376.5","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-A01.iam"
"62176-1246-A01 LIMPIO Y MARCADO",".iam","62176-1247-A03","109.5","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-A03.iam"
"62176-1246-A01 LIMPIO Y MARCADO",".iam","62176-1247-A04","97.5","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-A04.iam"
"62176-1246-A01 LIMPIO Y MARCADO",".iam","62176-1247-A05","109","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-A05.iam"
"62176-1246-A01 LIMPIO Y MARCADO",".ipt","62176-1247-P01","227","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-P01.ipt"
"62176-1246-A01 LIMPIO Y MARCADO",".ipt","62176-1247-P02","95","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-P02.ipt"
"62176-1246-A01 LIMPIO Y MARCADO",".ipt","62176-1247-P03","99","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-P03.ipt"
"62176-1246-A01 LIMPIO Y MARCADO",".ipt","62176-1247-P04","163.5","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-P04.ipt"
"62176-1246-A01 LIMPIO Y MARCADO",".ipt","62176-1247-P05","128.5","C:\Proyectos\COTAS ABIGAIL\COTAS ABIGAIL\Tanques\62176-1246-A01 LIMPIO Y MARCADO\62176-1246-A01 LIMPIO Y MARCADO\62176-1247-P05.ipt"
